Id,Age,Weight,Height,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration,Calories_Burned,Fat_Percentage,Water_Intake,Workout_Frequency,BMI
82,42,59.5,1.74,195,141,52,1.78,1129,16.4,2.7,5,19.65
83,24,72.9,1.76,175,127,68,0.86,546,30.8,1.5,3,23.53
84,26,76.7,1.63,199,139,72,1.08,751,25.6,1.7,2,28.87
85,41,72.1,1.83,175,133,58,1.13,744,21.4,2.8,3,21.53
86,18,54.8,1.68,176,158,71,1.27,1003,32,2.2,4,19.42
87,25,105,1.88,174,156,67,1.34,1150,21.4,2.3,3,29.71
88,41,55,1.55,175,169,65,1.45,1103,31.4,2,4,22.89
89,28,81.6,1.66,174,153,50,1.09,917,20.5,3.5,4,29.61
90,34,75.6,1.6,193,130,51,0.64,416,29.1,2.7,2,29.53
91,25,81.5,1.61,170,159,63,1.93,1688,10.9,3.5,4,31.44
92,52,61.5,1.69,160,152,63,1.8,1231,15.5,2.7,4,21.53
93,52,74,1.63,174,150,50,1.26,936,25.7,3.7,3,27.85
94,50,56.4,1.59,185,163,74,1.26,924,34.3,2.6,3,22.31
95,22,102.6,1.84,163,153,65,1.25,1052,20.5,2.7,3,30.3
96,59,54.6,1.57,164,169,64,0.58,441,29.2,2.3,3,22.15
97,56,129,1.78,194,126,64,1.29,805,27.1,2.7,2,40.71
98,58,103.5,1.66,172,168,61,1.33,1106,24.6,3.1,3,37.56
99,45,59.4,1.51,169,142,65,1.15,735,33.1,1.9,4,26.05
100,24,60.1,1.79,170,165,63,1.97,1625,15.9,2.7,4,18.76
101,26,77.7,1.62,177,126,73,1.16,804,29.6,3,3,29.61
102,25,41.2,1.62,193,144,64,1.49,1073,28.9,2.1,4,15.7
103,29,58.6,1.61,198,122,72,1.2,805,23.4,2,3,22.61
104,51,109.3,1.78,182,157,64,0.54,420,28.7,3.3,3,34.5
105,50,69.6,1.96,166,139,68,0.97,667,25.6,2,3,18.12
106,40,56.2,1.79,198,153,57,1.79,1369,17.6,2.7,5,17.54
107,41,71.7,1.96,162,168,51,0.51,424,27.3,2.5,2,18.66
108,54,86,1.93,171,163,51,1.74,1404,12.9,3.5,5,23.09
109,52,79.4,1.59,166,163,59,1.39,1020,26.6,1.5,3,31.41
110,57,78.4,1.62,185,149,52,1.01,677,31.7,2,4,29.87
111,39,55.4,1.6,192,136,72,1.44,979,26.3,1.6,3,21.64
112,44,61.7,1.55,196,129,66,1.41,819,33.1,2.6,4,25.68
113,52,85.5,1.82,174,154,57,1.78,1357,14.9,3.5,4,25.81
114,18,87.6,1.93,161,139,72,1.72,1315,11.9,3.5,4,23.52
115,52,82.4,1.72,166,137,53,1.01,685,24.4,2.7,4,27.85
116,54,67,1.68,191,164,63,0.55,446,20.5,2.8,3,23.74
117,31,42.3,1.6,163,163,70,1.09,888,25.1,1.9,3,16.52
118,20,82.7,1.99,179,146,59,1.69,1357,14.6,3.5,5,20.88
119,18,92.4,1.74,195,168,50,1.41,1303,21.3,3.1,2,30.52
120,22,63.2,1.54,191,155,53,1.02,790,29.5,2.4,4,26.65
121,43,82.7,1.85,187,142,50,1.22,858,28.2,3.1,4,24.16
122,31,86.6,1.76,172,151,66,1.29,1071,28.9,3.3,3,27.96
123,56,129.5,1.95,160,129,66,1,639,25.2,3.5,2,34.06
124,44,98,1.83,194,130,56,1.28,824,25.7,3.5,4,29.26
125,26,86.2,1.68,189,157,72,1.97,1701,13.3,3.5,5,30.54
126,32,78.6,1.62,195,125,69,1.28,880,29.6,3.1,3,29.95
127,32,59,1.66,184,160,64,0.51,408,31,1.8,2,21.41
128,43,57.3,1.79,175,166,62,1.98,1479,17.8,2.7,4,17.88
129,59,122.3,1.89,178,153,51,0.66,500,20.1,3.1,3,34.24
130,30,85.3,1.95,160,155,68,1.61,1373,10.4,3.5,5,22.43
131,49,45.2,1.74,164,156,73,1.24,870,30.8,2.1,3,14.93
132,56,55.6,1.92,181,136,62,0.68,458,29.4,3.2,3,15.08
133,49,82.8,1.95,183,159,73,1.91,1503,14.3,3.5,5,21.78
134,21,125.2,1.66,196,159,60,1.38,1207,29.8,3.4,3,45.43
135,47,58.5,1.79,195,131,71,1.42,837,30.3,2.4,4,18.26
136,54,86.1,1.95,195,140,64,1.17,811,27.9,3.4,2,22.64
137,40,63.5,1.61,163,159,59,1.31,1041,33.4,1.6,3,24.5
138,56,69.3,1.68,195,138,58,0.66,451,26.5,2.1,2,24.55
139,32,70.5,1.62,177,122,58,1.24,756,28.4,1.8,2,26.86
140,46,60.1,1.65,175,137,69,1.69,1042,17.3,2.7,4,22.08
141,53,94.1,1.95,177,138,50,0.89,608,28.6,3.5,3,24.75
142,30,79.2,1.62,181,166,66,1.26,1046,28,2.5,4,30.18
143,49,115.3,1.91,161,125,61,1.38,854,29.2,3.2,2,31.61
144,24,62.9,1.79,180,135,59,1.42,958,27.3,2.3,4,19.63
145,39,62,1.64,195,127,54,0.97,678,27.5,3.2,3,23.05
146,45,88.5,1.78,198,167,67,1.53,1265,13.2,3.5,4,27.93
147,19,73.9,1.77,198,137,64,1.28,877,32.5,2.6,3,23.59
148,59,50.3,1.95,188,167,55,1.07,885,24.4,3.4,3,13.23
149,23,83.1,1.8,185,162,56,0.7,624,29.3,3.1,3,25.65
150,45,65.1,1.78,180,158,66,1.46,1038,31.3,2.3,3,20.55
151,45,46.6,1.79,176,168,55,1.46,1214,22.9,2.4,3,14.54
152,37,103.5,1.89,175,168,57,0.54,499,26.4,3.1,2,28.97
153,47,61.9,1.54,190,131,61,1.95,1150,16.4,2.7,4,26.1
154,28,52,1.61,168,164,70,1.32,1082,27.9,2,3,20.06
155,45,113.4,1.71,190,129,63,0.83,530,24,2.3,2,38.78
156,42,62.9,1.98,173,126,61,1.42,886,28.5,3.4,4,16.04
157,56,40.4,1.8,196,165,72,1.23,913,30,2.1,4,12.47
158,50,67.1,1.75,161,120,59,0.67,362,31.8,2.7,3,21.91
159,18,70,1.61,173,168,71,1.3,1201,23.9,2.5,2,27.01
160,44,69.5,1.75,192,155,69,1.02,711,27.6,2.1,3,22.69
161,30,107.9,1.66,194,140,64,1.08,832,29.5,2.8,3,39.16
162,58,109,1.91,198,156,56,1.49,1151,26,2.2,3,29.88
163,20,101,1.91,179,143,58,1.36,1070,29.3,2.7,3,27.69
164,56,88.5,1.85,161,144,59,1.57,1119,11,3.5,4,25.86
165,23,80.9,1.8,178,126,59,1.55,1074,10.7,3.5,4,24.97
166,25,43.1,1.62,196,161,65,1.04,837,33.6,1.8,4,16.42
167,44,59.1,1.52,177,136,56,1.58,967,18.4,2.7,5,25.58
168,26,54,1.53,175,148,54,1.14,844,26.9,1.7,3,23.07
169,54,72.3,1.78,163,149,72,1.27,852,27.7,1.8,2,22.82
170,50,51.1,1.98,171,126,52,0.92,574,28,2.4,2,13.03
171,59,89.4,1.72,188,152,67,1.08,813,24.5,3.2,3,30.22
172,41,51.5,1.8,166,126,60,1.09,680,26.7,2.1,4,15.9
173,32,87.9,1.88,173,143,64,1.52,1195,11.6,3.5,5,24.87
174,49,42,1.52,171,130,70,1.1,644,28.8,2.2,3,18.18
175,49,79.2,1.72,194,128,69,1.46,925,29.9,3.3,3,26.77
176,41,64.8,1.71,164,131,54,1.2,778,22.5,2.8,3,22.16
177,58,63,1.78,176,154,73,1.58,1095,17.5,2.7,4,19.88
178,29,56.2,1.77,191,123,61,0.68,418,33.4,2.6,3,17.94
179,56,52.9,1.64,169,155,53,1.1,767,27.4,2.3,3,19.67
180,19,49,1.69,176,147,64,1.05,772,29.2,2.4,3,17.16
181,20,128.2,1.84,164,132,58,0.83,603,26.2,2.3,3,37.87
182,54,83.6,1.86,168,142,56,1.54,1082,12.4,3.5,5,24.16
183,34,56.2,1.77,192,138,59,1.81,1249,17.3,2.7,5,17.94
184,19,87.8,1.78,195,161,72,1.28,1133,23.6,3.3,2,27.71
185,19,85.9,1.85,195,156,62,1.66,1424,12.9,3.5,4,25.1
186,45,51.1,1.87,177,158,57,1.44,1126,26.2,3.4,4,14.61
187,40,57.4,1.71,168,143,61,1.87,1337,18.3,2.7,5,19.63
188,54,114.9,1.92,188,135,71,1.2,802,20.7,2.6,4,31.17
189,49,62.1,1.66,173,152,73,1.37,937,31.3,1.8,3,22.54
190,50,57.1,1.91,184,131,68,1.09,707,29.5,2.7,4,15.65
191,18,68.1,1.8,174,153,50,1.1,926,25.4,3.3,4,21.02
192,36,69.2,1.65,165,126,65,1.23,852,27.2,2.7,3,25.42
193,19,65.2,1.52,188,130,71,1.23,800,30.6,2.4,3,28.22
194,43,108.6,1.73,174,150,66,1.33,988,28.5,2.2,2,36.29
195,49,40,1.65,188,148,74,1.03,686,34.3,2.5,3,14.69
196,23,41.9,1.58,163,132,67,0.56,370,26.8,1.8,3,16.78
197,49,68.3,1.52,177,150,60,1.45,979,29.4,1.8,4,29.56
198,21,88.4,1.6,198,121,67,1.71,1138,12,3.5,4,34.53
199,28,66,1.9,175,158,56,1.18,1025,24.1,3,3,18.28
200,34,71.9,1.64,170,134,67,1.26,929,21.3,2.1,4,26.73
201,55,75.6,1.71,173,130,57,1.03,663,28.1,2,4,25.85
202,41,63.4,1.59,162,153,55,1.84,1267,15.2,2.7,5,25.08
203,22,71.6,1.77,197,158,56,1.49,1177,30.3,1.8,3,22.85
204,51,57.4,1.77,177,123,72,1.08,598,31.6,2.1,4,18.32
205,23,83.8,1.99,179,130,71,1.79,1280,11,3.5,4,21.16
206,39,55.9,1.71,184,148,59,1.95,1443,19.5,2.7,5,19.12
207,28,87,1.76,197,121,60,1.2,799,28.4,3.5,3,28.09
208,33,65.3,1.71,172,135,74,1.18,796,29.7,2.5,4,22.33
209,50,45.4,1.67,163,158,62,1.37,1071,24.1,2.8,4,16.28
210,26,87.1,1.87,173,132,58,1.71,1241,11.2,3.5,4,24.91
211,23,78.6,1.73,192,156,56,1.47,1147,32.3,1.5,4,26.26
212,33,78,1.71,187,136,58,1.08,734,26.3,2.1,3,26.67
213,46,58,1.53,196,140,62,1.83,1153,18.4,2.7,4,24.78
214,20,71.3,1.69,167,163,52,1.28,1043,33.4,2.3,3,24.96
215,37,49.1,1.74,193,138,52,1.11,842,22.3,2.6,3,16.22
216,53,78.3,1.65,164,126,50,1.24,703,33.7,1.6,3,28.76
217,36,57.3,1.64,164,157,70,1.13,887,25.3,1.8,4,21.3
218,43,48.4,1.61,190,127,69,1.28,732,34.1,2.4,2,18.67
219,20,76.4,1.62,168,132,51,1.35,980,21.2,2.6,4,29.11
220,36,110.2,1.77,191,156,74,1.19,1021,26.5,3.4,2,35.18
221,37,72.9,1.76,192,121,52,1.21,732,27.5,1.9,3,23.53
222,49,82.1,1.86,162,160,64,1.87,1481,14.2,3.5,4,23.73
223,24,58.9,1.76,189,130,73,0.63,410,30.1,1.7,3,19.01
224,58,82.2,1.87,171,143,55,1.57,1111,10.7,3.5,4,23.51
225,50,96.7,1.72,188,125,62,1.46,903,25.7,2.7,3,32.69
226,57,81.4,1.86,162,145,70,1.8,1292,12,3.5,5,23.53
227,56,107.8,1.73,185,126,50,1.09,680,26.6,2.8,3,36.02
228,35,65.8,1.62,189,158,69,1,790,33.8,1.5,4,25.07
229,57,68.5,1.56,168,138,68,1.45,900,29.1,1.6,4,28.15
230,18,63.9,1.59,185,125,50,1.87,1169,16.4,2.7,4,25.28
231,28,76.3,1.62,161,162,70,1.16,1034,20.1,2.3,3,29.07
232,45,44.5,1.65,162,148,71,1.44,959,30.7,1.6,3,16.35
233,42,50.7,1.75,163,162,51,1.29,940,29,1.9,3,16.56
234,40,55.1,1.61,184,158,64,1.55,1224,16.9,2.7,4,21.26
235,48,73.7,1.61,172,121,63,1.36,815,21.8,3.6,4,28.43
236,47,55.6,1.77,198,138,68,1.2,820,24.3,2.9,4,17.75
237,59,86.9,1.76,194,123,60,1.13,688,29.8,3.1,3,28.05
238,52,60.3,1.68,182,125,64,1.6,900,16.5,2.7,4,21.36
239,24,40.4,1.64,168,168,55,0.99,832,31,1.9,2,15.02
240,33,78.5,1.66,161,156,69,1.29,1006,32.8,1.9,4,28.49
241,43,102.6,1.72,190,147,58,0.82,597,27.5,2,2,34.68
242,19,110.8,1.91,161,149,54,1.31,1074,23.3,2.9,2,30.37
243,18,60.9,1.79,191,126,69,1.11,699,31.1,2.1,2,19.01
244,29,55.7,1.61,177,128,51,1.41,993,28.7,2.3,3,21.49
245,22,110.5,1.92,172,144,55,1.16,919,20.2,3.3,3,29.98
246,54,55.2,1.71,164,152,67,0.77,579,24.4,2.8,2,18.88
247,49,46.5,1.72,169,120,72,1.4,832,22.2,2.6,4,15.72
248,26,70.9,1.66,184,125,68,0.81,506,28.9,1.7,3,25.73
249,58,74.6,1.75,193,137,58,1.09,739,24.2,2.9,2,24.36
250,52,45.1,1.72,196,129,70,0.93,594,27.5,3.3,2,15.24
251,36,99.9,1.99,189,147,73,1.33,1075,20.9,2.5,3,25.23
252,33,117,1.61,166,130,55,1.04,744,25.1,2.4,3,45.14
253,20,75.9,1.73,165,152,63,1.39,1056,30.6,2.1,4,25.36
254,37,71.2,1.64,162,120,73,1.11,666,29.9,1.7,3,26.47
255,41,78.8,1.72,172,132,62,1.01,660,27.3,3.1,4,26.64
256,50,50.6,1.69,162,156,60,1.31,1012,23.8,3,2,17.72
257,41,82.5,1.79,185,139,61,1.69,1163,14.7,3.5,4,25.75
258,28,108.5,1.79,183,120,68,1.33,878,24.8,2.1,4,33.86
259,25,49.9,1.98,165,122,68,1.15,772,25.7,2.1,3,12.73
260,53,125.1,1.91,171,137,70,0.52,353,28.3,3.1,2,34.29
261,55,79.7,1.66,195,160,68,1.06,763,27.8,1.9,2,28.92
262,57,126.8,1.63,161,133,73,0.96,632,20.8,2.1,2,47.72
263,37,54.6,1.57,170,150,62,1.31,982,32.1,2.4,3,22.15
264,52,47.8,1.54,198,146,63,1.34,880,29.8,1.9,3,20.16
265,42,97.9,1.91,193,136,73,1.01,680,29,2.8,3,26.84
266,52,63.1,1.54,185,165,67,1.36,1010,34.8,1.8,3,26.61
267,42,72.4,1.69,177,148,61,1.07,713,29,2.3,3,25.35
268,46,58.9,1.7,180,155,53,1.52,1060,17.1,2.7,4,20.38
269,35,50.4,1.6,195,156,59,1.03,803,29.1,1.9,4,19.69
270,35,64.2,1.59,199,145,66,1.63,1182,16.6,2.7,5,25.39
271,19,58.8,1.77,181,136,53,1.4,952,32.8,2.7,2,18.77
272,52,105.2,1.62,189,141,61,1.36,949,27.6,3.2,3,40.09
273,33,45.9,1.5,189,144,62,0.92,662,29.8,1.7,3,20.4
274,58,65.2,1.63,167,121,53,1.12,610,25.4,2,3,24.54
275,53,56.3,1.79,193,141,59,1.52,964,16.5,2.7,5,17.57
276,50,90,1.7,168,124,74,0.81,497,22.9,2.7,2,31.14
277,21,60,1.7,179,123,52,1.97,1212,19.1,2.7,5,20.76
278,50,51.5,1.71,199,155,64,1.48,1136,20.9,2.9,2,17.61
279,31,63.1,1.64,184,125,51,1.54,962,19,2.7,4,23.46
280,38,91.5,1.77,178,140,74,0.8,616,26.7,3.4,2,29.21
281,37,48.7,1.67,164,132,74,1.39,1009,27.3,3,2,17.46
282,25,57.8,1.56,170,156,66,1.35,1053,29.3,1.6,3,23.75
283,24,42,1.75,174,144,55,0.83,598,31.8,2.3,3,13.71
284,20,128.4,1.92,167,145,57,0.63,502,26.1,2,2,34.83
285,34,74.2,1.57,178,158,52,1.47,1161,32.7,2.4,3,30.1
286,50,89.6,1.68,182,139,74,1.79,1232,12.2,3.5,5,31.75
287,29,125.9,2,186,152,67,1.36,1137,24.7,3.1,4,31.48
288,39,105.5,1.99,199,133,71,0.81,593,26.4,2.5,2,26.64
289,39,93.4,1.7,191,155,50,1.1,938,21.1,2.5,4,32.32
290,47,82.1,1.84,185,136,65,1.37,922,24.4,3.4,4,24.25
291,55,42.9,1.69,186,140,56,0.9,567,34.7,2.4,2,15.02
292,55,128.4,1.68,178,165,52,1.13,923,20.4,2.6,4,45.49
293,25,112.4,1.96,188,135,72,1.42,1054,23.2,2.5,2,29.26
294,44,77.7,1.79,198,165,53,1.41,1047,28.1,2.2,3,24.25
295,44,89.3,1.99,192,135,58,1.4,936,26.3,2,4,22.55
296,51,70.3,1.55,178,139,54,1.4,876,26.1,1.6,3,29.26
297,38,59.1,1.72,196,148,68,1.07,792,31.3,1.7,3,19.98
298,47,49.9,1.69,178,147,64,1.48,979,26,1.7,3,17.47
299,50,101.7,1.67,192,127,57,0.53,333,20.9,2.9,2,36.47
300,45,93,1.91,175,143,55,1.03,729,27.3,3.7,3,25.49
301,50,87.4,1.6,182,122,67,0.77,465,23.2,3.1,2,34.14
302,22,55.1,1.61,166,144,68,1.62,1166,19.9,2.7,4,21.26
303,36,123.7,1.69,185,138,73,1.3,987,20.4,2.1,4,43.31
304,21,61.3,1.57,191,152,64,1.94,1474,17.2,2.7,4,24.87
305,52,72.3,1.94,171,121,56,1.46,874,21.1,2.9,3,19.21
306,34,69.2,1.53,167,134,59,1.36,911,28.5,2.1,2,29.56
307,45,81.4,1.61,164,141,55,1.14,796,30,2.2,4,31.4
308,47,84.8,1.86,187,129,63,1.85,1181,14.4,3.5,5,24.51
309,46,55.1,1.72,164,137,66,1.43,970,20.5,3.6,3,18.62
310,23,59,1.78,185,141,58,1.67,1177,17.8,2.7,5,18.62
311,52,64.9,1.51,164,165,68,1.83,1359,18.2,2.7,4,28.46
312,58,109.7,1.75,181,168,54,1.01,840,22.1,2.7,2,35.82
313,54,78.4,1.9,174,146,72,0.81,585,21.5,3.7,2,21.72
314,41,76.7,1.79,172,132,56,1.4,832,34,2,4,23.94
315,46,63.1,1.61,187,152,68,1,684,34.7,2.2,4,24.34
316,48,62.9,1.58,192,124,69,1.98,1105,20,2.7,4,25.2
317,52,85.6,1.74,182,145,56,1.84,1321,13.9,3.5,4,28.27
318,50,66.3,1.57,192,132,73,1.25,742,31.6,1.6,2,26.9
319,38,61.3,1.97,177,146,51,1.37,1100,23.5,2.8,3,15.8
320,49,44.1,1.65,189,133,74,1.16,694,26.7,1.8,4,16.2
321,40,63.8,1.62,185,143,72,1.3,1022,20.8,3.4,2,24.31
322,50,55.4,1.55,175,122,65,1.85,1016,18.5,2.7,4,23.06
323,20,74.7,1.58,172,166,62,1.04,863,32.8,2.4,3,29.92
324,35,78,1.67,198,168,57,1.13,949,33.3,2.5,4,27.97
325,42,57.5,1.67,192,149,55,1.14,764,34.1,2.4,2,20.62
326,59,60.7,1.73,185,154,55,1.03,714,33.8,2.5,3,20.28
327,48,69,1.74,160,167,58,1.48,1223,30,2.3,3,22.79
328,20,75.8,1.78,197,133,53,1.42,944,27.4,2,4,23.92
329,57,75.7,1.63,161,131,60,0.69,407,32.6,2.3,3,28.49
330,41,71.2,1.64,165,147,54,1.42,939,30.9,2.3,3,26.47
331,49,85,1.68,197,163,74,1.82,1468,11.3,3.5,4,30.12
332,39,63.6,1.56,183,148,66,1.22,903,34.8,2.4,2,26.13
333,40,73.2,1.94,177,162,69,0.81,722,29,2.4,2,19.45
334,19,48.3,1.52,186,136,56,0.96,653,26.3,1.6,2,20.91
335,44,42.8,1.78,167,159,64,1.49,1066,25.3,2.6,3,13.51
336,59,88.1,1.76,187,168,74,1.35,1123,26.9,3,3,28.44
337,19,72.4,1.75,169,140,64,1.2,840,31,1.7,4,23.64
338,43,73.2,1.88,176,142,63,1.17,822,29.4,3.3,3,20.71
339,34,110.5,1.86,188,139,62,1.42,1086,22.3,3.6,2,31.94
340,57,46.1,1.76,165,130,60,1.44,842,25.8,1.7,3,14.88
341,50,90.8,1.71,173,153,62,1.07,810,22.6,3.4,4,31.05
342,26,59.3,1.51,181,129,71,1.7,1096,15.1,2.7,5,26.01
343,56,45.1,1.73,165,129,73,0.83,482,25.4,2.6,3,15.07
344,46,45,1.77,185,162,58,1.48,1187,29.1,3.6,3,14.36
345,59,89.4,1.62,198,125,59,1.43,885,23.5,3.6,3,34.06
346,43,127.7,1.69,171,155,53,1.14,875,24.1,2.9,3,44.71
347,52,70.9,1.72,194,143,66,1.31,927,20.2,2.6,3,23.97
348,42,49.2,1.5,173,131,63,1.15,678,27.7,1.5,3,21.87
349,41,62.3,1.79,181,162,73,1.99,1451,19,2.7,5,19.44
350,30,64.1,1.87,182,142,67,0.64,500,26.2,2.1,2,18.33
351,24,69.7,1.75,166,146,60,1.41,1029,32.5,2,3,22.76
352,53,56.9,1.59,199,164,65,1.49,1100,29.5,2,3,22.51
353,37,53,1.71,184,156,50,1.13,881,28.1,1.7,4,18.13
354,18,72.7,1.55,172,125,56,0.84,525,29.8,2,3,30.26
355,25,76.5,1.96,180,120,59,0.67,442,23.2,2.3,3,19.91
356,33,113.6,1.99,169,125,58,1.38,949,28.4,3.4,2,28.69
357,31,62.5,1.62,168,169,74,1.56,1318,16.5,2.7,4,23.81
358,29,95.2,1.86,174,141,52,0.64,496,26.6,2.5,2,27.52
359,40,51.7,1.82,161,160,71,0.9,792,21.4,3,3,15.61
360,32,105.3,1.67,184,143,72,0.57,448,26.9,2.9,3,37.76
361,45,71.2,1.68,172,144,63,1.37,888,34.1,1.6,3,25.23
362,51,78.1,1.51,193,134,74,0.92,555,31.1,2.6,3,34.25
363,19,50.6,1.68,193,145,64,1.21,877,30.6,2.1,3,17.93
364,49,70.2,1.89,194,127,51,0.7,440,29.6,2.6,3,19.65
365,40,62.6,1.53,197,143,73,1.93,1380,18.1,2.7,5,26.74
366,39,60.6,1.65,162,167,63,0.92,768,27.6,1.7,3,22.26
